0.00.002.445 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.004.355 I srv    load_model: loading model 'models/BitNet-b1.58-2B-4T/ggml-model-i2_s.gguf'
0.00.531.900 W load: missing pre-tokenizer type, using: 'default'
0.00.531.906 W load:                                             
0.00.531.906 W load: ************************************        
0.00.531.906 W load: GENERATION QUALITY WILL BE DEGRADED!        
0.00.531.906 W load: CONSIDER REGENERATING THE MODEL             
0.00.531.906 W load: ************************************        
0.00.531.906 W load:                                             
0.00.953.060 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.00.956.492 I srv  llama_server: model loaded
0.00.956.525 I srv  llama_server: listening on http://127.0.0.1:8080
0.07.356.887 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.07.356.911 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.13.083.690 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  20.65 t/s, tg_3s =  20.65 t/s
0.14.078.922 I slot print_timing: id  3 | task 0 | prompt eval time =     883.50 ms /   134 tokens (    6.59 ms per token,   151.67 tokens per second)
0.14.078.928 I slot print_timing: id  3 | task 0 |        eval time =    5838.48 ms /   120 tokens (   48.65 ms per token,    20.55 tokens per second)
0.14.078.928 I slot print_timing: id  3 | task 0 |       total time =    6721.98 ms /   254 tokens
0.14.078.931 I slot print_timing: id  3 | task 0 |    graphs reused =        119
0.14.078.969 I slot      release: id  3 | task 0 | stop processing: n_tokens = 253, truncated = 0
0.14.082.081 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.881 (> 0.100 thold), f_keep = 0.470
0.14.094.419 I slot launch_slot_: id  3 | task 121 | processing task, is_child = 0
0.19.711.304 I slot print_timing: id  3 | task 121 | n_decoded =    100, tg =  18.26 t/s, tg_3s =  18.26 t/s
0.20.829.873 I slot print_timing: id  3 | task 121 | prompt eval time =     139.32 ms /    16 tokens (    8.71 ms per token,   114.85 tokens per second)
0.20.829.879 I slot print_timing: id  3 | task 121 |        eval time =    6596.09 ms /   120 tokens (   54.97 ms per token,    18.19 tokens per second)
0.20.829.881 I slot print_timing: id  3 | task 121 |       total time =    6735.41 ms /   136 tokens
0.20.829.881 I slot print_timing: id  3 | task 121 |    graphs reused =        237
0.20.829.912 I slot      release: id  3 | task 121 | stop processing: n_tokens = 254, truncated = 0
0.20.833.542 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.862 (> 0.100 thold), f_keep = 0.469
0.20.848.745 I slot launch_slot_: id  3 | task 242 | processing task, is_child = 0
0.26.548.741 I slot print_timing: id  3 | task 242 | n_decoded =    100, tg =  18.13 t/s, tg_3s =  18.13 t/s
