| model                          |       size |     params | backend    | threads |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | ------: | --------------: | -------------------: |
| bitnet-b1.58 2B Q1_0           |   1.10 GiB |     2.41 B | CPU        |       4 |           pp128 |        110.40 ± 1.49 |
| bitnet-b1.58 2B Q1_0           |   1.10 GiB |     2.41 B | CPU        |       4 |            tg64 |         21.74 ± 0.06 |
| bitnet-b1.58 2B Q1_0           |   1.10 GiB |     2.41 B | CPU        |       8 |           pp128 |        108.01 ± 1.17 |
| bitnet-b1.58 2B Q1_0           |   1.10 GiB |     2.41 B | CPU        |       8 |            tg64 |         23.72 ± 0.04 |
| bitnet-b1.58 2B Q1_0           |   1.10 GiB |     2.41 B | CPU        |      12 |           pp128 |        141.17 ± 1.47 |
| bitnet-b1.58 2B Q1_0           |   1.10 GiB |     2.41 B | CPU        |      12 |            tg64 |         22.59 ± 0.29 |
| bitnet-b1.58 2B Q1_0           |   1.10 GiB |     2.41 B | CPU        |      16 |           pp128 |         76.80 ± 1.89 |
| bitnet-b1.58 2B Q1_0           |   1.10 GiB |     2.41 B | CPU        |      16 |            tg64 |         13.34 ± 1.87 |

build: 390c30775 (9918)
